"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2638","Add product to the cart","chromium","2026-09-21","passed","2026-09-21","","endtoend.spec.ts","",""
"","1","2.Create user via API and verify user on the UI and delete user via API","chromium","2026-09-21","skipped","2026-09-21","","example2.spec.ts","",""
"","2969","Amazon footer automation test using following sibling","chromium","2026-09-21","passed","2026-09-21","","amazon.spec.ts","",""
"","0","Verify all products","chromium","2026-09-21","skipped","2026-09-21","","login.spec.ts","",""
"","1029","Verify swag labs text","chromium","2026-09-21","passed","2026-09-21","","login.spec.ts","",""
"","0","Verify Login functionality","chromium","2026-09-21","skipped","2026-09-21","","example1.spec.ts","",""
"","749","authenticate","setup","2026-09-21","passed","2026-09-21","","auth.setup.ts","",""
